1,Physical sciences
1b0,Physics; Methods
1b1,Physics; 
1b2,Physics; 
1b3,Physics; Biology
1b4,Physics; Socioeconomic environment
1b5,Physics; Geographical distribution
1b6,Physics; History
1b7,Physics; Chemicophysical properties  
1c0,Chemistry; Methods
1c1,Chemistry; 
1c2,Chemistry; 
1c3,Chemistry; Biology
1c4,Chemistry; Socioeconomic environment
1c5,Chemistry; Geographical distribution
1c6,Chemistry; History
1c7,Chemistry; Chemicophysical properties  
1d0,Hydrodynamics; Methods
1d1,Hydrodynamics; 
1d2,Hydrodynamics; 
1d3,Hydrodynamics; Biology
1d4,Hydrodynamics; Socioeconomic environment
1d5,Hydrodynamics; Geographical distribution
1d6,Hydrodynamics; History
1d7,Hydrodynamics; Chemicophysical properties  
1e0,Engineering; Methods
1e1,Engineering; 
1e2,Engineering; 
1e3,Engineering; Biology
1e4,Engineering; Socioeconomic environment
1e5,Engineering; Geographical distribution
1e6,Engineering; History
1e7,Engineering; Chemicophysical properties  
1f0,Oceanography; Methods
1f1,Oceanography
1f2,Oceanography
1f3,Oceanography; Biology
1f4,Oceanography; Socioeconomic environment
1f5,Oceanography; Geographical distribution
1f6,Oceanography; History
1f7,Oceanography; Chemicophysical properties  
1g0,Geography; Soil; Sediments; Methods
1g1,Geography; Soil; Sediments; 
1g2,Geography; Soil; Sediments; 
1g3,Geography; Soil; Sediments; Biology
1g4,Geography; Soil; Sediments; Socioeconomic environment
1g5,Geography; Soil; Sediments; Geographical distribution
1g6,Geography; Soil; Sediments; History
1g7,Geography; Soil; Sediments; Chemicophysical properties  
1h0,Hydrology; Methods
1h1,Hydrology; 
1h2,Hydrology; 
1h3,Hydrology; Biology
1h4,Hydrology; Socioeconomic environment
1h5,Hydrology; Geographical distribution
1h6,Hydrology; History
1h7,Hydrology; Chemicophysical properties  
1k0,Water chemistry; Methods
1k1,Water chemistry; 
1k2,Water chemistry; 
1k3,Water chemistry; Biology
1k4,Water chemistry; Socioeconomic environment
1k5,Water chemistry; Geographical distribution
